,countyFIPS,County Name,State_x,population,Male,Female,Under 18 years,18 years and over,65 years and over
0,1003,Baldwin County,AL,223234,"120,664","125,771","51,269","195,166","53,946"
1,1015,Calhoun County,AL,113605,"56,554","59,234","24,410","91,378","21,445"
2,1043,Cullman County,AL,83768,"45,051","45,614","20,170","70,495","17,376"
3,1049,DeKalb County,AL,71513,"36,024","35,974","17,043","54,955","12,763"
4,1051,Elmore County,AL,81209,"43,448","46,115","18,970","70,593","14,594"
5,1055,Etowah County,AL,102268,"50,443","52,645","22,032","81,056","20,370"
6,1069,Houston County,AL,105882,"51,728","56,351","24,386","83,693","20,009"
7,1073,Jefferson County,AL,658573,"316,006","349,403","149,764","515,645","113,686"
8,1077,Lauderdale County,AL,92729,"45,733","50,145","18,804","77,074","20,190"
9,1081,Lee County,AL,164542,"89,415","91,358","37,226","143,547","24,335"
10,1083,Limestone County,AL,98915,"56,166","54,734","24,452","86,448","17,837"
11,1089,Madison County,AL,372909,"199,367","204,198","85,657","317,908","64,228"
12,1095,Marshall County,AL,96774,"49,035","50,388","25,340","74,083","17,325"
13,1097,Mobile County,AL,413210,"197,023","214,388","94,979","316,432","71,584"
14,1101,Montgomery County,AL,226486,"107,059","119,302","53,525","172,836","36,554"
15,1103,Morgan County,AL,119679,"61,086","63,125","28,238","95,973","22,898"
16,1115,St. Clair County,AL,89512,"46,470","47,462","20,790","73,142","17,280"
17,1117,Shelby County,AL,217702,"111,938","118,177","51,047","179,068","39,429"
18,1121,Talladega County,AL,79978,"37,822","42,882","16,451","64,253","15,615"
19,1125,Tuscaloosa County,AL,209355,"112,317","124,463","47,488","189,292","33,505"
20,2090,Fairbanks North Star Borough,AK,96849,"52,872","42,484","21,653","73,703","11,496"
21,2170,Matanuska-Susitna Borough,AK,108317,"59,378","53,947","29,102","84,223","15,458"
22,4001,Apache County,AZ,71887,"32,379","33,053","16,961","48,471","11,022"
23,4003,Cochise County,AZ,125922,"64,013","61,650","26,090","99,573","30,567"
24,4005,Coconino County,AZ,143476,"70,586","73,474","27,859","116,201","20,538"
25,4013,Maricopa County,AZ,4485414,"2,268,514","2,283,010","1,019,237","3,532,287","737,669"
26,4015,Mohave County,AZ,212181,"112,493","108,323","35,311","185,505","71,095"
27,4017,Navajo County,AZ,110924,"54,153","54,497","27,282","81,368","21,389"
28,4019,Pima County,AZ,1047279,"524,150","533,447","206,912","850,685","224,382"
29,4021,Pinal County,AZ,462789,"240,400","223,754","100,898","363,256","97,863"
30,4025,Yavapai County,AZ,235099,"121,122","125,069","37,100","209,091","83,951"
31,4027,Yuma County,AZ,213787,"106,122","101,720","51,691","156,151","42,802"
32,5007,Benton County,AR,279141,"151,676","151,187","76,289","226,574","42,406"
33,5031,Craighead County,AR,110332,"54,169","58,848","28,161","84,856","15,645"
34,5045,Faulkner County,AR,126007,"61,992","65,673","28,378","99,287","18,459"
35,5051,Garland County,AR,99386,"49,170","50,919","19,387","80,702","25,176"
36,5069,Jefferson County,AR,66824,"31,983","32,263","13,722","50,524","12,073"
37,5085,Lonoke County,AR,73309,"38,287","36,938","18,104","57,121","11,382"
38,5119,Pulaski County,AR,391911,"190,255","208,890","91,472","307,673","67,400"
39,5125,Saline County,AR,122437,"61,563","65,794","29,189","98,168","23,520"
40,5131,Sebastian County,AR,127827,"64,053","65,006","30,452","98,607","21,403"
41,5143,Washington County,AR,239187,"127,322","128,732","59,167","196,887","31,922"
42,5145,White County,AR,78753,"37,469","40,286","17,895","59,860","12,827"
43,6001,Alameda County,CA,1671329,"810,070","818,927","317,743","1,311,254","255,508"
44,6007,Butte County,CA,219186,"103,480","103,823","41,520","165,783","38,470"
45,6013,Contra Costa County,CA,1153526,"569,707","587,259","250,737","906,229","201,136"
46,6017,El Dorado County,CA,192843,"96,589","96,057","37,015","155,631","45,669"
47,6019,Fresno County,CA,999101,"510,861","504,329","280,714","734,476","130,982"
48,6023,Humboldt County,CA,135558,"67,044","67,966","24,107","110,903","27,129"
49,6025,Imperial County,CA,181215,"91,304","87,409","50,139","128,574","24,673"
50,6029,Kern County,CA,900202,"468,373","447,735","260,036","656,072","108,035"
51,6031,Kings County,CA,152940,"83,519","69,462","40,804","112,177","16,076"
52,6033,Lake County,CA,64386,"34,380","33,811","14,240","53,951","17,230"
53,6037,Los Angeles County,CA,10039107,"4,825,592","4,895,546","1,983,782","7,737,356","1,479,463"
54,6039,Madera County,CA,157327,"79,198","81,058","43,544","116,712","24,011"
55,6041,Marin County,CA,258826,"124,273","131,745","48,404","207,614","63,076"
56,6045,Mendocino County,CA,86749,"44,738","45,045","18,677","71,106","22,070"
57,6047,Merced County,CA,277680,"147,970","142,044","83,004","207,010","34,130"
58,6053,Monterey County,CA,434061,"220,203","212,655","110,095","322,763","66,224"
59,6055,Napa County,CA,137744,"68,028","66,272","25,623","108,677","28,962"
60,6057,Nevada County,CA,99755,"51,791","50,502","17,316","84,977","29,997"
61,6059,Orange County,CA,3175692,"1,564,705","1,586,479","654,520","2,496,664","516,802"
62,6061,Placer County,CA,398329,"205,189","212,583","90,219","327,553","86,151"
63,6065,Riverside County,CA,2470546,"1,243,465","1,230,437","593,553","1,880,349","379,191"
64,6067,Sacramento County,CA,1552058,"781,977","802,192","359,155","1,225,014","243,351"
65,6069,San Benito County,CA,62808,"33,905","33,674","17,096","50,483","9,154"
66,6071,San Bernardino County,CA,2180085,"1,101,675","1,091,981","557,741","1,635,915","273,836"
67,6073,San Diego County,CA,3338330,"1,660,621","1,615,587","679,625","2,596,583","507,031"
68,6075,San Francisco County,CA,881549,"414,691","393,746","110,431","698,006","147,741"
69,6077,San Joaquin County,CA,762148,"397,943","395,286","207,198","586,031","106,943"
70,6079,San Luis Obispo County,CA,283111,"141,682","140,331","47,567","234,446","62,740"
71,6081,San Mateo County,CA,766573,"364,282","364,899","140,498","588,683","134,604"
72,6083,Santa Barbara County,CA,446499,"223,288","220,549","97,420","346,417","73,831"
73,6085,Santa Clara County,CA,1927852,"956,477","914,468","377,792","1,493,153","282,144"
74,6087,Santa Cruz County,CA,273213,"132,268","132,102","47,992","216,378","50,597"
75,6089,Shasta County,CA,180080,"89,164","91,766","38,623","142,307","39,612"
76,6095,Solano County,CA,447643,"224,469","224,278","97,036","351,711","79,091"
77,6097,Sonoma County,CA,494336,"237,518","245,132","89,845","392,805","106,062"
78,6099,Stanislaus County,CA,550660,"275,330","275,945","145,894","405,381","76,252"
79,6101,Sutter County,CA,96971,"50,253","48,250","23,977","74,526","16,534"
80,6103,Tehama County,CA,65084,"32,586","32,659","15,403","49,842","12,669"
81,6107,Tulare County,CA,466195,"239,821","237,723","141,290","336,254","56,462"
82,6111,Ventura County,CA,846006,"414,249","418,356","179,926","652,679","145,815"
83,6113,Yolo County,CA,220500,"108,344","113,771","43,542","178,573","29,532"
84,6115,Yuba County,CA,78668,"42,289","42,021","22,622","61,688","11,291"
85,8001,Adams County,CO,517421,"269,198","258,377","129,498","398,077","59,702"
86,8005,Arapahoe County,CO,656590,"328,669","327,139","144,963","510,845","95,926"
87,8013,Boulder County,CO,326196,"164,742","162,726","56,878","270,590","54,464"
88,8031,Denver County,CO,727211,"360,565","352,687","127,857","585,395","88,638"
89,8035,Douglas County,CO,351154,"189,745","186,243","86,920","289,068","52,499"
90,8041,El Paso County,CO,720403,"379,024","361,543","169,283","571,284","103,793"
91,8059,Jefferson County,CO,582881,"290,571","285,572","105,197","470,946","103,782"
92,8069,Larimer County,CO,356899,"183,500","183,278","66,336","300,442","64,394"
93,8077,Mesa County,CO,154210,"78,240","80,396","31,841","126,795","33,531"
94,8101,Pueblo County,CO,168424,"84,397","85,147","36,890","132,654","32,695"
95,8123,Weld County,CO,324492,"178,434","171,742","88,394","261,782","45,625"
96,10001,Kent County,DE,180786,"90,564","96,382","42,593","144,353","34,595"
97,10003,New Castle County,DE,558753,"279,996","295,498","121,049","454,445","98,575"
98,10005,Sussex County,DE,234225,"124,097","131,859","44,585","211,371","79,010"
99,12001,Alachua County,FL,269043,"138,383","145,647","49,782","234,248","44,501"
100,12005,Bay County,FL,174705,"91,603","93,531","38,342","146,792","33,729"
101,12009,Brevard County,FL,601942,"311,507","319,186","112,891","517,802","155,807"
102,12011,Broward County,FL,1952778,"957,148","989,878","400,396","1,546,630","352,806"
103,12015,Charlotte County,FL,188910,"99,772","102,889","23,582","179,079","82,079"
104,12017,Citrus County,FL,149657,"81,278","81,251","23,992","138,537","59,756"
105,12019,Clay County,FL,219252,"112,326","114,263","51,139","175,450","39,080"
106,12021,Collier County,FL,384902,"197,084","200,910","64,561","333,433","133,673"
107,12023,Columbia County,FL,71686,"37,754","34,154","15,550","56,358","14,734"
108,12031,Duval County,FL,957755,"493,860","522,676","225,777","790,759","156,867"
109,12033,Escambia County,FL,318316,"160,241","164,637","67,266","257,612","59,213"
110,12035,Flagler County,FL,115081,"61,758","64,947","20,176","106,529","40,155"
111,12053,Hernando County,FL,193920,"100,924","105,972","38,077","168,819","54,394"
112,12055,Highlands County,FL,106221,"50,648","54,970","17,471","88,147","37,820"
113,12057,Hillsborough County,FL,1471968,"746,809","766,492","325,349","1,187,952","229,170"
114,12061,Indian River County,FL,159923,"81,811","85,541","25,050","142,302","59,345"
115,12069,Lake County,FL,367118,"199,285","210,854","77,288","332,851","109,948"
116,12071,Lee County,FL,770577,"405,001","417,452","138,830","683,623","240,924"
117,12073,Leon County,FL,293582,"141,373","155,996","54,398","242,971","43,829"
118,12081,Manatee County,FL,403253,"208,440","220,685","73,446","355,679","123,869"
119,12083,Marion County,FL,365579,"191,520","204,895","73,320","323,095","115,197"
120,12085,Martin County,FL,161000,"80,792","81,214","25,957","136,049","52,766"
121,12086,Miami-Dade County,FL,2716940,"1,314,494","1,359,343","528,962","2,144,875","459,541"
122,12087,Monroe County,FL,74228,"42,917","38,791","12,897","68,811","20,473"
123,12089,Nassau County,FL,88625,"47,395","50,504","18,532","79,367","23,660"
124,12091,Okaloosa County,FL,210738,"111,209","105,273","47,923","168,559","35,662"
125,12095,Orange County,FL,1393452,"716,703","736,023","306,365","1,146,361","191,792"
126,12097,Osceola County,FL,375751,"210,840","211,705","100,418","322,127","56,530"
127,12099,Palm Beach County,FL,1496770,"741,601","776,876","281,799","1,236,678","382,654"
128,12101,Pasco County,FL,553947,"299,676","309,118","122,395","486,399","134,356"
129,12103,Pinellas County,FL,974996,"464,718","497,021","146,573","815,166","255,971"
130,12105,Polk County,FL,724777,"389,252","398,152","171,731","615,673","154,485"
131,12107,Putnam County,FL,74521,"36,786","37,945","15,619","59,112","18,248"
132,12109,St. Johns County,FL,264672,"150,664","156,177","65,403","241,438","65,105"
133,12111,St. Lucie County,FL,328297,"176,727","181,977","69,996","288,708","88,455"
134,12113,Santa Rosa County,FL,184313,"102,329","95,939","42,864","155,404","32,269"
135,12115,Sarasota County,FL,433742,"221,151","241,135","63,364","398,922","174,328"
136,12117,Seminole County,FL,471826,"233,800","244,972","97,846","380,926","79,871"
137,12119,Sumter County,FL,132420,"70,686","74,284","10,316","134,654","83,852"
138,12127,Volusia County,FL,553284,"284,115","295,077","100,319","478,873","147,314"
139,12131,Walton County,FL,74071,"41,864","41,440","17,128","66,176","16,788"
140,13013,Barrow County,GA,83240,"43,604","45,695","22,202","67,097","11,728"
141,13015,Bartow County,GA,107738,"54,917","57,899","25,830","86,986","15,946"
142,13021,Bibb County,GA,153159,"73,370","82,827","37,693","118,504","26,649"
143,13031,Bulloch County,GA,79608,"40,564","42,495","16,261","66,798","10,106"
144,13045,Carroll County,GA,119992,"61,197","63,395","29,237","95,355","17,912"
145,13047,Catoosa County,GA,67580,"34,236","34,590","15,099","53,727","13,140"
146,13051,Chatham County,GA,289430,"144,407","156,700","61,336","239,771","50,794"
147,13057,Cherokee County,GA,258773,"139,874","141,404","63,177","218,101","46,300"
148,13059,Clarke County,GA,128331,"61,331","68,544","20,717","109,158","15,821"
149,13063,Clayton County,GA,292256,"138,288","158,276","79,237","217,327","32,460"
150,13067,Cobb County,GA,760141,"376,720","395,232","171,338","600,614","107,073"
151,13073,Columbia County,GA,156714,"78,743","83,676","40,484","121,935","24,720"
152,13077,Coweta County,GA,148509,"74,986","77,896","34,737","118,145","23,265"
153,13089,DeKalb County,GA,759297,"361,602","401,218","169,585","593,235","106,953"
154,13095,Dougherty County,GA,87956,"38,464","44,502","19,856","63,110","14,145"
155,13097,Douglas County,GA,146343,"71,222","76,094","36,859","110,457","18,083"
156,13103,Effingham County,GA,64296,"34,092","34,949","18,081","50,960","8,423"
157,13113,Fayette County,GA,114421,"59,375","62,655","27,273","94,757","24,275"
158,13115,Floyd County,GA,98498,"49,658","49,785","22,336","77,107","17,552"
159,13117,Forsyth County,GA,244252,"133,152","134,085","67,879","199,358","35,520"
160,13121,Fulton County,GA,1063937,"523,387","551,247","221,563","853,071","137,676"
161,13127,Glynn County,GA,85292,"39,518","45,561","17,059","68,020","20,042"
162,13135,Gwinnett County,GA,936250,"478,646","496,707","251,066","724,287","111,634"
163,13139,Hall County,GA,204441,"105,347","107,345","50,186","162,506","34,066"
164,13151,Henry County,GA,234561,"118,568","129,796","61,599","186,765","30,954"
165,13153,Houston County,GA,157863,"82,329","87,302","42,781","126,850","23,966"
166,13157,Jackson County,GA,72977,"41,273","42,663","20,788","63,148","11,959"
167,13179,Liberty County,GA,61435,"35,279","32,751","18,232","49,798","7,111"
168,13185,Lowndes County,GA,117406,"58,238","61,501","29,116","90,623","15,675"
169,13215,Muscogee County,GA,195769,"97,592","105,024","49,981","152,635","29,867"
170,13217,Newton County,GA,111744,"56,102","61,519","29,291","88,330","15,677"
171,13223,Paulding County,GA,168667,"88,451","89,970","44,989","133,432","20,764"
172,13245,Richmond County,GA,202518,"100,230","106,410","46,573","160,067","31,676"
173,13247,Rockdale County,GA,90896,"44,452","50,532","22,428","72,556","15,165"
174,13255,Spalding County,GA,66703,"33,214","35,705","15,943","52,976","13,041"
175,13285,Troup County,GA,69922,"33,837","36,354","16,531","53,660","11,244"
176,13295,Walker County,GA,69761,"34,263","34,652","14,566","54,349","13,417"
177,13297,Walton County,GA,94593,"50,921","52,144","24,167","78,898","16,995"
178,13313,Whitfield County,GA,104628,"51,669","51,463","25,650","77,482","15,597"
179,15001,Hawaii County,HI,201513,"102,519","103,796","43,190","163,125","48,076"
180,15003,Honolulu County,HI,974563,"503,323","492,315","203,999","791,639","195,314"
181,15007,Kauai County,HI,72293,"37,484","36,326","15,517","58,293","16,668"
182,15009,Maui County,HI,167417,"81,915","82,450","34,160","130,205","34,590"
183,16001,Ada County,ID,481587,"262,625","256,282","112,839","406,068","84,587"
184,16005,Bannock County,ID,87808,"43,939","45,578","22,606","66,911","13,778"
185,16019,Bonneville County,ID,119062,"65,041","64,455","38,429","91,067","17,441"
186,16027,Canyon County,ID,229849,"125,654","125,411","66,405","184,660","36,632"
187,16055,Kootenai County,ID,165697,"91,492","92,086","40,431","143,147","37,344"
188,16083,Twin Falls County,ID,86878,"45,303","48,393","24,643","69,053","15,310"
189,17019,Champaign County,IL,209689,"101,117","105,425","38,617","167,925","29,608"
190,17031,Cook County,IL,5150233,"2,496,346","2,612,946","1,069,612","4,039,680","826,128"
191,17037,DeKalb County,IL,104897,"49,430","50,802","21,308","78,924","15,404"
192,17043,DuPage County,IL,922921,"456,409","464,492","200,391","720,510","162,142"
193,17089,Kane County,IL,532403,"258,142","256,040","121,471","392,711","80,405"
194,17091,Kankakee County,IL,109862,"52,804","53,270","23,817","82,257","18,662"
195,17093,Kendall County,IL,128990,"67,853","69,401","36,800","100,454","16,124"
196,17097,Lake County,IL,696535,"358,544","350,606","162,219","546,931","114,065"
197,17099,LaSalle County,IL,108669,"54,676","53,402","22,529","85,549","21,702"
198,17111,McHenry County,IL,307774,"156,659","155,088","69,136","242,611","51,962"
199,17113,McLean County,IL,171517,"83,389","87,752","35,678","135,463","24,872"
200,17115,Macon County,IL,104009,"49,352","52,131","22,749","78,734","21,394"
201,17119,Madison County,IL,262966,"128,996","134,868","55,509","208,355","49,268"
202,17143,Peoria County,IL,179179,"88,147","90,236","42,134","136,249","33,120"
203,17161,Rock Island County,IL,141879,"70,852","70,675","31,410","110,117","29,308"
204,17163,St. Clair County,IL,259686,"122,269","130,402","57,903","194,768","44,573"
205,17167,Sangamon County,IL,194672,"94,448","100,086","42,183","152,351","38,130"
206,17179,Tazewell County,IL,131803,"64,851","65,060","28,212","101,699","26,143"
207,17183,Vermilion County,IL,75758,"36,179","36,158","16,635","55,702","14,701"
208,17197,Will County,IL,690743,"348,498","348,259","162,745","534,012","102,202"
209,17199,Williamson County,IL,66597,"33,506","33,189","13,922","52,773","13,486"
210,17201,Winnebago County,IL,282572,"139,952","142,236","65,463","216,725","53,255"
211,18003,Allen County,IN,379299,"192,770","198,679","98,461","292,988","61,588"
212,18005,Bartholomew County,IN,83779,"41,119","42,421","19,849","63,691","14,264"
213,18011,Boone County,IN,67843,"36,548","37,616","18,083","56,081","11,775"
214,18019,Clark County,IN,118302,"61,038","63,199","26,952","97,285","20,989"
215,18035,Delaware County,IN,114135,"54,029","58,002","19,941","92,090","19,751"
216,18039,Elkhart County,IN,206341,"101,344","105,546","55,673","151,217","33,197"
217,18043,Floyd County,IN,78522,"39,700","41,014","18,004","62,710","14,012"
218,18053,Grant County,IN,65769,"32,639","33,383","14,082","51,940","12,652"
219,18057,Hamilton County,IN,338011,"179,900","185,021","91,298","273,623","50,524"
220,18059,Hancock County,IN,78168,"41,050","42,020","19,113","63,957","14,706"
221,18063,Hendricks County,IN,170311,"91,382","91,152","44,089","138,445","27,269"
222,18067,Howard County,IN,82544,"41,061","42,513","18,799","64,775","17,414"
223,18081,Johnson County,IN,158167,"81,411","84,371","39,855","125,927","26,742"
224,18085,Kosciusko County,IN,79456,"40,621","40,205","18,657","62,169","14,863"
225,18089,Lake County,IN,485493,"243,500","256,189","115,107","384,582","89,188"
226,18091,LaPorte County,IN,109888,"57,656","54,019","23,480","88,195","21,632"
227,18095,Madison County,IN,129569,"67,307","64,437","27,970","103,774","25,107"
228,18097,Marion County,IN,964582,"470,156","499,310","236,983","732,483","130,933"
229,18105,Monroe County,IN,148431,"69,955","69,790","21,739","118,006","20,384"
230,18109,Morgan County,IN,70489,"36,001","36,235","15,881","56,355","13,285"
231,18127,Porter County,IN,170389,"86,952","87,839","36,973","137,818","31,627"
232,18141,St. Joseph County,IN,271826,"132,879","139,355","62,508","209,726","46,173"
233,18157,Tippecanoe County,IN,195732,"97,132","91,585","37,700","151,017","23,693"
234,18163,Vanderburgh County,IN,181451,"88,013","91,731","38,668","141,076","33,376"
235,18167,Vigo County,IN,107038,"52,886","53,120","21,271","84,735","18,474"
236,18173,Warrick County,IN,62998,"31,763","33,422","15,109","50,076","12,509"
237,18177,Wayne County,IN,65884,"32,279","33,994","14,932","51,341","12,845"
238,19013,Black Hawk County,IA,131228,"64,043","66,231","28,102","102,172","23,467"
239,19049,Dallas County,IA,93453,"53,619","54,397","28,520","79,496","13,589"
240,19061,Dubuque County,IA,97311,"49,699","48,978","21,377","77,300","19,247"
241,19103,Johnson County,IA,151140,"79,218","77,202","29,711","126,709","21,100"
242,19113,Linn County,IA,226706,"113,722","115,311","51,002","178,031","40,313"
243,19153,Polk County,IA,490161,"249,912","251,177","120,133","380,956","71,264"
244,19155,Pottawattamie County,IA,93206,"47,101","46,072","20,998","72,175","17,827"
245,19163,Scott County,IA,172943,"85,221","88,703","39,970","133,954","30,109"
246,19169,Story County,IA,97117,"51,950","47,723","15,786","83,887","13,072"
247,19193,Woodbury County,IA,103107,"53,844","51,827","26,182","79,489","17,704"
248,20015,Butler County,KS,66911,"34,983","33,257","16,226","52,014","11,378"
249,20045,Douglas County,KS,122259,"60,363","59,601","20,496","99,468","17,073"
250,20091,Johnson County,KS,602401,"306,631","312,564","143,499","475,696","100,501"
251,20103,Leavenworth County,KS,81758,"45,010","37,882","19,209","63,683","13,932"
252,20161,Riley County,KS,74232,"37,238","33,870","11,296","59,812","7,655"
253,20173,Sedgwick County,KS,516042,"261,286","264,239","129,502","396,023","84,066"
254,20177,Shawnee County,KS,176875,"86,957","90,523","40,541","136,939","34,585"
255,20209,Wyandotte County,KS,165429,"83,120","82,626","44,510","121,236","22,934"
256,21015,Boone County,KY,133581,"68,715","70,378","34,961","104,132","20,968"
257,21029,Bullitt County,KY,81676,"41,899","41,937","17,479","66,357","14,789"
258,21037,Campbell County,KY,93584,"46,466","46,834","18,995","74,305","16,179"
259,21047,Christian County,KY,70461,"37,481","35,556","20,570","52,467","9,733"
260,21059,Daviess County,KY,101511,"50,671","52,551","24,579","78,643","18,586"
261,21067,Fayette County,KY,323152,"157,451","162,896","65,310","255,037","48,782"
262,21093,Hardin County,KY,110958,"55,684","56,178","27,467","84,395","17,337"
263,21111,Jefferson County,KY,766757,"376,659","396,740","168,846","604,553","136,205"
264,21117,Kenton County,KY,166998,"85,619","84,694","38,966","131,347","27,456"
265,21145,McCracken County,KY,65418,"33,273","34,217","14,914","52,576","14,212"
266,21151,Madison County,KY,92987,"47,236","47,951","19,126","76,061","13,668"
267,21185,Oldham County,KY,66799,"36,581","32,850","16,744","52,687","10,514"
268,21199,Pulaski County,KY,64979,"32,124","33,671","14,309","51,486","12,697"
269,21227,Warren County,KY,132896,"69,302","70,541","32,338","107,505","18,854"
270,22005,Ascension Parish,LA,126604,"64,540","65,918","33,871","96,587","17,520"
